,lambda,Res_25um,band,img_quality_col,img_quality_col_2nd_pos,Res,Res_2nd_pos
58,451.1938775510204,761.4523661977705,g,31.794191997040507,36.39805166779703,598.735428052904,523.0035203171748
59,453.3265306122449,752.761059692063,g,31.923053209199086,36.655774092114186,589.5121111685709,513.3986925227734
60,455.4591836734694,744.2376155250962,g,32.051914421357665,36.913496516431344,580.4938869963228,504.04166887429164
61,457.59183673469386,735.8775264714017,g,32.18077563351624,37.1712189407485,571.6747902938874,494.92426361131834
62,459.7244897959184,727.6764457642737,g,32.309636845674824,37.42894136506567,563.0490751412493,486.03862360601727
63,461.85714285714283,719.6301781295175,g,32.43849805783341,37.68666378938282,554.6112036741923,477.3772110415976
64,463.98979591836735,711.7346747163024,g,32.56735926999198,37.944386213699985,546.3558380768875,468.93278936432466
65,466.1224489795918,703.9860257523834,g,32.696220482150565,38.20210863801714,538.27783102385,460.69840831495753
66,468.2551020408163,696.3804554957215,g,32.82508169430914,38.4598310623343,530.3722180959968,452.6673910547431
67,470.38775510204084,688.9143158927651,g,32.953942906467724,38.71755348665146,522.6342093934646,444.8333209704741
68,472.5204081632653,681.5840817427755,g,33.0828041186263,38.97527591096862,515.0591824825316,437.19002996907636
69,474.6530612244898,674.3863443360152,g,33.21166533078488,39.23299833528578,507.6426743579359,429.7315862610726
70,476.7857142857143,667.3178082455837,g,33.34052654294346,39.49072075960294,500.3803759563164,422.4522846188572
71,478.9183673469388,660.3752857688822,g,33.46938775510204,39.748443183920095,493.2681250407809,415.3466355356727
72,481.05102040816325,653.5556929617652,g,33.598248967260616,40.006165608237254,486.30190043431594,408.4093557988961
73,483.18367346938777,646.85604480687,g,33.7271101794192,40.26388803255441,479.4778157436029,401.63535888776437
74,485.31632653061223,640.2734515190374,g,33.855971391577775,40.52161045687157,472.79211406581874,395.0197464390641
75,487.44897959183675,633.8051155227804,g,33.98483260373636,40.77933288118873,466.2411633102311,388.55780044844175
76,489.5816326530612,627.4483263238409,g,34.11369381589493,41.03705530550589,459.8214500825235,382.2449744826458
77,491.7142857142857,621.2004589793711,g,34.242555028053516,41.294777729823046,453.52957633451064,376.0768873994573
78,493.8469387755102,615.0589688234836,g,34.37141624021209,41.552500154140205,447.36225336556595,370.04931504837526
79,495.9795918367347,609.0213899605894,g,34.500277452370675,41.81022257845736,441.3162986887376,364.1581845311597
80,498.11224489795916,603.0853312902977,g,34.62913866452925,42.06794500277452,435.38863118478326,358.3995672064099
81,500.2448979591837,597.2484742933013,g,34.71360749737961,42.25907885812936,430.12561740981914,353.3255399971934
82,502.3775510204082,591.5085698889173,g,34.455885073062454,41.9369258277329,429.1781858415804,352.6179841595307
83,504.51020408163265,585.8634359177044,g,34.198162648745296,41.61477279733646,428.2857546582252,351.95640666528067
84,506.6428571428571,580.3109546127326,g,33.940440224428144,41.292619766940014,427.4480168609173,351.3406014731386
85,508.7755102040816,574.8490707259222,g,33.68271780011098,40.970466736543564,426.6647024576117,350.7703942100726
86,510.90816326530614,569.4757883368497,g,33.42499537579382,40.64831370614711,425.9355775029222,350.2456414635534
87,513.0408163265306,564.1891701839417,g,33.16727295147666,40.326160675750664,425.2604449944859,349.7662316035987
88,515.1734693877551,558.9873335580226,g,32.90955052715951,40.00400764535422,424.63914320001345,349.3320834962265
89,517.3061224489796,553.8684502058207,g,32.65182810284234,39.68185461495776,424.07154697534884,348.94314768055506
90,519.4387755102041,548.830743193906,g,32.394105678525186,39.359701584561314,423.5575667996746,348.59940567307467
91,521.5714285714286,543.8724855377413,g,32.13638325420803,39.03754855416487,423.0971491374384,348.300870367868
92,523.704081632653,538.9919988771532,g,31.878660829890872,38.71539552376843,422.690276854235,348.04758648678364
93,525.8367346938776,534.1876504217438,g,31.620938405573703,38.393242493371964,422.33696828521744,347.8396299257373
94,527.969387755102,529.4578540323512,g,31.36321598125655,38.07108946297552,422.03727955446965,347.6771097838254
95,530.1020408163265,524.8010652044798,g,31.105493556939393,37.74893643257908,421.79130210859546,347.5601664577973
96,532.2346938775511,520.215782258142,g,30.847771132622224,37.426783402182615,421.5991651565402,347.4889737838148
97,534.3673469387755,515.7005434750384,g,30.59004870830507,37.10463037178617,421.46103492067004,347.4637385602214
98,536.5,846.8406822035402,r,30.332326283987914,36.78247734138973,697.9687893659657,575.5734410870058
99,539.3265306122449,836.0831434577821,r,29.990751587644116,36.35550897095998,696.9508091639822,574.9356611439739
100,542.1530612244898,825.5549345850186,r,29.64917689130033,35.92854060053025,696.1027430977799,574.4422962818832
101,544.9795918367347,815.2493230367613,r,29.30760219495653,35.5015722301005,695.4247891158557,574.0938160096055
102,547.8061224489796,805.1598339992235,r,28.966027498612732,35.07460385967075,694.9173769494151,573.8908964022592
103,550.6326530612245,795.2802391770715,r,28.643566187804428,34.64763548924102,694.1176894339347,573.8344247358715
104,553.4591836734694,785.6045445823498,r,28.38738516554658,34.22066711881127,691.8606099161154,573.9255037422247
105,556.2857142857143,776.1269796655698,r,28.13120414328873,33.79369874838152,689.7384979614627,574.1654571791588
106,559.1122448979592,766.8419873925898,r,27.87502312103089,33.36673037795179,687.7500908815659,574.5558365371835
107,561.9387755102041,757.7442137857204,r,27.61884209877304,32.93976200752204,685.894262941768,575.0984278610481
108,564.765306122449,748.8284995524159,r,27.36266107651519,32.512793637092294,684.1700241237867,575.7952607140111
109,567.5918367346939,740.0898710258839,r,27.106480054257354,32.08582526666256,682.5765181835599,576.6486173217145
110,570.4183673469388,731.5235318563923,r,26.850299031999505,31.65885689623281,681.1130212968775,577.661043048777
111,573.2448979591836,723.1248550157851,r,26.594118009741663,31.23188852580308,679.7789409211636,578.8353579854415
112,576.0714285714286,714.8893759944682,r,26.337936987483815,30.80492015537333,678.5738157227295,580.174670465563
113,578.8979591836735,706.812785052655,r,26.081755965225966,30.37795178494358,677.4973145932235,581.6823909462662
114,581.7244897959183,698.8909214522896,r,25.825574942968125,29.95098341451385,676.5492375248997,583.362248728047
115,584.5510204081633,691.1197659330909,r,25.569393920710276,29.5240150440841,675.729514821731,585.218308638864
116,587.3775510204082,683.4954364634908,r,25.313212898452427,29.09704667365435,675.0382094969833,587.2549920009196
117,590.204081632653,676.0141802998426,r,25.05703187619459,28.67007830322462,674.4755161345439,589.4770962517819
118,593.030612244898,668.6723708671517,r,24.80085085393674,28.24310993279487,674.0417645399157,591.8898206131274
119,595.8571428571429,661.4665003414831,r,24.54466983167889,27.81614156236512,673.7374192417868,594.4987902603633
