,lambda,T,T_sky,band
76,489.5816326530612,0.704317020168419,0.5080218543168868,g
77,491.7142857142857,0.7062540564664749,0.5104748180898415,g
78,493.8469387755102,0.706267259846007,0.5115183367275423,g
79,495.9795918367347,0.7062160275031556,0.5125158806431577,g
80,498.11224489795916,0.7071458424947544,0.5142274283980417,g
81,500.2448979591837,0.7052306412021498,0.513829607363769,g
82,502.3775510204082,0.7033343376676934,0.5131346713347501,g
83,504.51020408163265,0.7077181664551409,0.5170243942232634,g
84,506.6428571428571,0.708497991430971,0.5182866595338266,g
85,508.7755102040816,0.7082721281913581,0.5188141837385799,g
86,510.90816326530614,0.7090527425170312,0.5200335478304215,g
87,513.0408163265306,0.711012074792062,0.5220574952384401,g
88,515.1734693877551,0.7115255235467728,0.5230220631025804,g
89,517.3061224489796,0.7107187375257198,0.5230161344925526,g
90,519.4387755102041,0.7111550445575509,0.5239249016073515,g
91,521.5714285714286,0.7076139391748852,0.5218638744786533,g
92,523.704081632653,0.7066853947581578,0.5217130157609798,g
93,525.8367346938776,0.7075042823507692,0.5228522434844969,g
94,527.969387755102,0.7051216544265498,0.5216244606731067,g
95,530.1020408163265,0.6882316856989492,0.5096484234438615,g
96,532.2346938775511,0.6179148352337686,0.45801137177449114,g
97,534.3673469387755,0.47291583855587804,0.35086719893760193,g
98,536.5,0.36873024225362155,0.27382846735254096,g
99,539.3265306122449,0.5823051549518153,0.4329767398207152,r
100,542.1530612244898,0.6971116526491006,0.5189328716824213,r
101,544.9795918367347,0.7269632943552697,0.5417518869313349,r
102,547.8061224489796,0.7258324844121012,0.5415054849141405,r
103,550.6326530612245,0.7280341288344906,0.543730717613628,r
104,553.4591836734694,0.7317763399130788,0.5470576759960416,r
105,556.2857142857143,0.7348843187293745,0.5499152257080175,r
106,559.1122448979592,0.7358580542110201,0.5511784300969872,r
107,561.9387755102041,0.7323737949828616,0.5490354676370576,r
108,564.765306122449,0.7324577707445352,0.549535149150556,r
109,567.5918367346939,0.7341867618185557,0.5512696294953008,r
110,570.4183673469388,0.7329149224276391,0.5507547097115522,r
111,573.2448979591836,0.7354682465856082,0.5531376582604723,r
112,576.0714285714286,0.7335723458009784,0.552174396902947,r
113,578.8979591836735,0.7300942724111559,0.5500164045852911,r
114,581.7244897959183,0.7347701544708818,0.5539117790407231,r
115,584.5510204081633,0.7369070030969527,0.5558383272632321,r
116,587.3775510204082,0.7360884990320292,0.5555355068558869,r
117,590.204081632653,0.7336766790528593,0.554028094928558,r
118,593.030612244898,0.7402909173084619,0.5593381163860072,r
119,595.8571428571429,0.740198110602204,0.5595825490348063,r
120,598.6836734693877,0.7377638754243361,0.5580550567100689,r
121,601.5102040816327,0.7397016476712636,0.559538119581445,r
122,604.3367346938776,0.7430529491201366,0.5618314655052142,r
123,607.1632653061224,0.7407062136048138,0.5598159263046187,r
124,609.9897959183673,0.7408721190808886,0.5596999151765139,r
125,612.8163265306123,0.7470455089867437,0.5640249277006876,r
126,615.6428571428571,0.7449741429317007,0.5621226308777645,r
127,618.469387755102,0.7405712111064308,0.5584637325327101,r
128,621.295918367347,0.7441341284350755,0.560823958590928,r
129,624.1224489795918,0.7478846434991036,0.5633363125035666,r
130,626.9489795918367,0.7466735600528412,0.562110086584234,r
131,629.7755102040817,0.7430421886736265,0.5590636188830054,r
132,632.6020408163265,0.7484874915016958,0.5627842304856537,r
133,635.4285714285714,0.7522719842251164,0.5652458634974091,r
134,638.2551020408164,0.7491202508890359,0.5624951216809797,r
135,641.0816326530612,0.7495607903345824,0.5623881590914985,r
136,643.9081632653061,0.7528272624385086,0.5643103866174982,r
137,646.7346938775511,0.7569478350774833,0.5668672972289435,r
138,649.5612244897959,0.758244972768411,0.5673056172240434,r
139,652.3877551020408,0.7572192820943041,0.5660201668503949,r
140,655.2142857142857,0.7527170230204029,0.5621421060299963,r
141,658.0408163265306,0.7534068901007441,0.5621438680053757,r
142,660.8673469387755,0.7629592478916597,0.5687265843598117,r
143,663.6938775510204,0.7629206030009121,0.5680978142902853,r
144,666.5204081632653,0.7599809048998406,0.5653107716068932,r
